road_id,barangay,split,manual_constraint_type,applied_constraint_type,display_constraint_type,review_constraint_type,predicted_constrained,predicted_probability,predicted_score_reg,prediction_status,nearest_known_constraint_dist_m,map_color,map_weight,map_opacity,routing_multiplier,avoid_priority,is_blocked,display_label,best_model,best_model_threshold
63,New Pandan (Pob.),val,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.72244173,0.5000829,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
64,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.7839359,0.4356665,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
65,Gredu (Pob.),train,normal,narrow_road_severe,narrow_road_severe,narrow_road_severe,1,0.82482654,0.41716528,new_predicted_constraint,125.02249384183158,#B71C1C,6,0.98,1.8,4,0,Severe narrow road,GAT,0.28000000000000014
66,New Pandan (Pob.),val,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.52315646,0.5634972,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
67,Gredu (Pob.),train,narrow_road_severe,narrow_road_severe,narrow_road_severe,narrow_road_severe,1,0.6259782,0.5050244,true_positive,,#B71C1C,6,0.98,1.8,4,0,Severe narrow road,GAT,0.28000000000000014
68,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.7049133,0.6607784,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
69,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8125365,0.48180366,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
70,Gredu (Pob.),val,normal,narrow_road,narrow_road,narrow_road,1,0.86356366,0.4768303,new_predicted_constraint,70.18974363511278,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
71,New Pandan (Pob.),train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.46355918,0.29274714,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
72,Datu Abdul Dadia,val,normal,narrow_road,narrow_road,narrow_road,1,0.837027,0.42556387,new_predicted_constraint,23.037167543952755,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
73,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6046439,0.6182385,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
74,New Visayas,train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.5858976,0.37290394,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
75,New Pandan (Pob.),train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.52750367,0.4257897,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
76,Gredu (Pob.),val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.7739535,0.33762503,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
77,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.85056007,0.37143695,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
78,Gredu (Pob.),train,narrow_road_severe,narrow_road_severe,narrow_road_severe,narrow_road_severe,1,0.6105774,0.49367905,true_positive,,#B71C1C,6,0.98,1.8,4,0,Severe narrow road,GAT,0.28000000000000014
79,New Pandan (Pob.),val,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.38278273,0.6041694,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
80,Cagangohan,train,normal,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6098388,0.62000835,new_predicted_constraint,25.60714982616321,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
81,Gredu (Pob.),train,narrow_road_severe,narrow_road_severe,narrow_road_severe,narrow_road_severe,1,0.6259782,0.5050243,true_positive,,#B71C1C,6,0.98,1.8,4,0,Severe narrow road,GAT,0.28000000000000014
82,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.80908024,0.39168745,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
83,New Visayas,train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.51765543,0.39803976,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
84,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.7305636,0.6782568,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
85,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.85006183,0.35903692,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
86,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.7258493,0.6790929,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
87,Santo Niño (Pob.),train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.8666292,0.65010077,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
88,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.7842583,0.43583745,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
89,New Pandan (Pob.),val,normal,traffic_pnm,traffic_pnm,traffic_pnm,1,0.4054622,0.5944594,new_predicted_constraint,75.86709409366298,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
90,New Visayas,train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.5172209,0.39859515,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
91,San Francisco (Pob.),test,normal,traffic_school,traffic_school,traffic_school,1,0.72512645,0.54046535,new_predicted_constraint,85.68433640737942,#FFE082,4,0.95,1.45,0,0,School traffic,GAT,0.28000000000000014
92,Cagangohan,train,normal,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6528127,0.6707043,new_predicted_constraint,93.83785098465341,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
93,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6438423,0.6726126,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
94,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.68541086,0.6532886,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
95,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8482552,0.40957665,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
96,Cagangohan,train,normal,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.7308906,0.7205453,new_predicted_constraint,39.33441576787292,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
97,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8503413,0.37059402,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
98,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.73784083,0.72947013,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
99,Gredu (Pob.),train,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8482552,0.40957665,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
100,New Pandan (Pob.),val,normal,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.33465245,0.5687799,new_predicted_constraint,54.948338555103454,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
101,Gredu (Pob.),val,narrow_road_severe,narrow_road_severe,narrow_road_severe,narrow_road_severe,1,0.64391845,0.44098997,true_positive,,#B71C1C,6,0.98,1.8,4,0,Severe narrow road,GAT,0.28000000000000014
102,New Visayas,test,narrow_road,narrow_road,narrow_road,narrow_road,1,0.5296583,0.42255795,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
103,New Pandan (Pob.),val,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.71685934,0.4315822,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
104,Gredu (Pob.),val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8593386,0.38227242,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
105,Cagangohan,train,normal,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.5982424,0.50468385,new_predicted_constraint,52.87706554926608,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
106,San Francisco (Pob.),test,traffic_school,traffic_school,traffic_school,traffic_school,1,0.7750068,0.55980515,true_positive,,#FFE082,4,0.95,1.45,0,0,School traffic,GAT,0.28000000000000014
107,New Visayas,test,narrow_road,narrow_road,narrow_road,narrow_road,1,0.51087666,0.3407262,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
108,Gredu (Pob.),val,normal,narrow_road_severe,narrow_road_severe,narrow_road_severe,1,0.7541428,0.5484765,new_predicted_constraint,55.16482556622079,#B71C1C,6,0.98,1.8,4,0,Severe narrow road,GAT,0.28000000000000014
109,Gredu (Pob.),val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8388757,0.38857824,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
110,Santo Niño (Pob.),train,normal,traffic_general,traffic_general,traffic_general,1,0.6657237,0.5576483,new_predicted_constraint,99.73669526009306,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
111,New Visayas,test,narrow_road,narrow_road,narrow_road,narrow_road,1,0.5302311,0.4230854,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
112,Gredu (Pob.),val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8033207,0.52507865,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
113,Gredu (Pob.),val,normal,traffic_general,traffic_general,traffic_general,1,0.8141425,0.30972826,new_predicted_constraint,68.66916605646259,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
114,Cagangohan,train,normal,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.65157443,0.6688509,new_predicted_constraint,86.02376624169841,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
115,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6143657,0.6210267,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
116,Santo Niño (Pob.),train,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.8075749,0.6925157,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
117,Santo Niño (Pob.),train,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.8167012,0.6531788,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
118,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6864846,0.6390246,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
119,New Visayas,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.8033207,0.5250786,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
120,Gredu (Pob.),val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.81511,0.39297247,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
121,New Pandan (Pob.),val,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.69583976,0.4828877,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
122,New Pandan (Pob.),val,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.7362659,0.52711105,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
123,New Visayas,test,narrow_road,narrow_road,narrow_road,narrow_road,1,0.53091574,0.42335606,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
124,Gredu (Pob.),val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.82506937,0.39336377,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
125,New Pandan (Pob.),val,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.6783303,0.48756033,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
126,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.6778737,0.71733177,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
127,Santo Niño (Pob.),train,normal,traffic_general,traffic_general,traffic_general,1,0.53527296,0.4605984,new_predicted_constraint,26.755688125078112,#FFD54F,4,0.95,1.35,2,0,General traffic,GAT,0.28000000000000014
128,Datu Abdul Dadia,val,narrow_road,narrow_road,narrow_road,narrow_road,1,0.79695773,0.44313037,true_positive,,#E53935,5,0.95,1.45,2,0,Narrow road,GAT,0.28000000000000014
129,Cagangohan,train,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,traffic_nightmarket,1,0.73633045,0.7186293,true_positive,,#E65100,5,0.95,1.75,4,0,Night-market area,GAT,0.28000000000000014
130,Gredu (Pob.),train,narrow_road_severe,narrow_road_severe,narrow_road_severe,narrow_road_severe,1,0.90939236,0.52558535,true_positive,,#B71C1C,6,0.98,1.8,4,0,Severe narrow road,GAT,0.28000000000000014
131,Santo Niño (Pob.),train,traffic_market,traffic_market,traffic_market,traffic_market,1,0.7562798,0.4785229,true_positive,,#FF9800,5,0.95,1.55,3,0,Public market traffic,GAT,0.28000000000000014
132,New Pandan (Pob.),val,traffic_pnm,traffic_pnm,traffic_pnm,traffic_pnm,1,0.33995077,0.56990945,true_positive,,#FB8C00,5,0.95,1.6,3,0,PNM / night-market nearby traffic,GAT,0.28000000000000014
